,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1983,Aanandha Kummi,Gokula Krishnan,"Bhanuchander, Ashwini, Goundamani",null,Ilaiyaraaja Films,/wiki/Aanandha_Kummi,Ilaiyaraaja,3,
2,1983,Aayiram Nilave Vaa,A. S. Pragasam,"Karthik, Sulakshana, Silk Smitha, Nagesh",null,New Wave Pictures,/wiki/Aayiram_Nilave_Vaa,Ilaiyaraaja,4,5.8
3,1983,Adutha Varisu,S. P. Muthuraman,"Rajinikanth, Sridevi, Silk Smitha, S. Varalakshmi, Cho, Manorama",null,Dwarkish Chitra,/wiki/Adutha_Varisu,Ilaiyaraaja,6,5.5
4,1983,Alai Payum Nenjangal,H. Ramesh,"Suresh, Sujatha, Rajesh, Ilavarasi",null,D & PG Productions,/wiki/Alai_Payum_Nenjangal,Sankar Ganesh,4,
5,1983,Anal Kaatru,Komal Swaminathan,"Rajesh, Delhi Ganesh, Vanitha",null,Cine Friends,/wiki/Anal_Kaatru,Sankar Ganesh,3,
6,1983,Anney Anney,Moulee,"Moulee, Sumithra, Viji",null,Kalaivani Productions,/wiki/Anney_Anney,Ilaiyaraaja,3,5.9
7,1983,Antha Sila Naatkal,Venkat,"Mohan, Poornima Jayaram, Manorama, Nithya, Silk Smitha, Dhilip",null,Meenakshi Finance,/wiki/Antha_Sila_Naatkal,Ilaiyaraaja,6,
8,1983,Apoorva Sahodarigal,R. Thyagarajan,"Karthik, Suhasini, Radha, Suresh, Urvashi, Jaishankar, K. R. Vijaya",null,Devar Films,/wiki/Apoorva_Sahodarigal,Bappi Lahiri,7,
9,1983,Aval Oru Kaviyam,Durai,"Jai Ganesh, Savitri, Kavitha, Suruli Rajan, Sachu",null,Sri Sivalayaa Films,/w/index.php?title=Aval_Oru_Kaviyam&action=edit&redlink=1,V. Kumar,5,
10,1983,Bhagavathipuram Railway Gate,R. Selvaraj,"Karthik, Rajyalakshmi, Thiagarajan, Silk Smitha",null,B. S. Films,/wiki/Bhagavathipuram_Railway_Gate,Ilaiyaraaja,4,6.0
11,1983,Bramacharigal,Swarnamoorthy,"Suresh, Sulakshana, S. Ve. Shekher, Vanitha",null,Jubilee Creations,/w/index.php?title=Bramacharigal&action=edit&redlink=1,M. S. Viswanathan,4,
12,1983,Dhooram Adhighamillai,Robert-Rajasekaran,"Karthik, Viji",null,Annam Movies,/wiki/Dhooram_Adhighamillai,Sankar Ganesh,2,
13,1983,Dowry Kalyanam,Visu,"Vijayakanth, Visu, Srividya, Viji, S. Ve. Shekher, Kismu, Manorama",null,Charu Chithra Films,/wiki/Dowry_Kalyanam,M. S. Viswanathan,7,7.2
14,1983,En Aasai Unnoduthan,K. Narayanan,"Prem, Poornima",null,Lotus Film Company,/wiki/En_Aasai_Unnoduthan,Sankar Ganesh,2,
15,1983,En Priyame,Sivakumar,"Raveendran, Viji",null,Balakumaran Movies,/wiki/En_Priyame,Gangai Amaran,2,
16,1983,Ennai Paar En Azhagai Paar,N. S. Maniam,"Jaishankar, Thiagarajan, Vijayakumar, Silk Smitha, Jayamalini, Jyothi Lakshmi",null,Sri Annai Moogambigai Films,/w/index.php?title=Ennai_Paar_En_Azhagai_Paar&action=edit&redlink=1,Ilaiyaraaja,6,
17,1983,Gramathu Kiligal,Sanjeevi Ganesh,"Rajeev, Subhadra",null,Jubilee Arts,/w/index.php?title=Gramathu_Kiligal&action=edit&redlink=1,Maniraja,2,
18,1983,Idhu Enga Naadu,Rama Narayanan,"Suresh, Sulakshana",null,Kalai Ezhil Combines,/w/index.php?title=Idhu_Enga_Naadu&action=edit&redlink=1,M. S. Viswanathan,2,
19,1983,Ilamai Kaalangal,Manivannan,"Mohan, Sasikala, Balaji, Rohini",null,Motherland Pictures,/wiki/Ilamai_Kaalangal,Ilaiyaraaja,4,5.8
20,1983,Ilayapiravigal,A. Irudaya Raj,"Rajeev, Mahalakshmi, Anuradha",null,Sri Vijayalakshmi Productions,/w/index.php?title=Ilayapiravigal&action=edit&redlink=1,Sankar Ganesh,3,7.7
21,1983,Imaigal,R. Krishnamurthy,"Sivaji Ganesan, Saritha, Sarath Babu, Rajyalakshmi, Y. G. Mahendra, Goundamani, Silk Smitha, Jayamalini",null,Vivekanandha Pictures,/wiki/Imaigal,Gangai Amaran,8,
22,1983,Indru Nee Nalai Naan,Major Sundarrajan,"Sivakumar, Jaishankar, Lakshmi, Sulakshana, Thengai Srinivasan",null,Geetha Kamalam Movies,/wiki/Indru_Nee_Nalai_Naan,Ilaiyaraaja,5,
23,1983,Inimai Idho Idho,R. Ramalingam,"Chandresekhar, Rajendra Prasad, Nisha",null,Geethalaya Art Films,/wiki/Inimai_Idho_Idho,Ilaiyaraaja,3,5.7
24,1983,Jodi Pura,V. K. Ramasamy,"V. K. R. Raghunath, Vyjayanthimala",null,V. K. R. Productions,/w/index.php?title=Jodi_Pura&action=edit&redlink=1,Sankar Ganesh,2,
25,1983,Jothi,Manivannan,"Mohan, Ambika, Silk Smitha",null,Thai Creations,/w/index.php?title=Jothi_(1983_film)&action=edit&redlink=1,Ilaiyaraaja,3,
26,1983,Kai Varisai,Prem Kumar,"Jaishankar, Seema",null,Sarala Agencies,/w/index.php?title=Kai_Varisai&action=edit&redlink=1,Sankar Ganesh,2,
27,1983,Kalvadiyum Pookal,V. Karthigeyan,"Sreenath, Nizhalgal Ravi, Nalini, Lavanya, Manorama",null,Ravi Ben Cine Arts,/w/index.php?title=Kalvadiyum_Pookal&action=edit&redlink=1,Shyam,5,
