,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,1996,Aruva Velu,P. S. Bharathi Kannan,"Nassar, Urvashi",null,Goodwill Movies,/wiki/Aruva_Velu,2,Adithyan,
2,1996,Coimbatore Mappillai,C. Ranganathan,"Vijay, Sanghavi",null,Shree Vijayalakshmi Movieland,/wiki/Coimbatore_Mappillai,2,,6.4
3,1996,Kizhakku Mugam,M. Anna Thurai,"Karthik, Reshma",null,Thai Films International,/wiki/Kizhakku_Mugam,2,Adithyan,
4,1996,Love Birds,P. Vasu,"Prabhu Deva, Nagma",null,Pyramid Films,/wiki/Love_Birds_(1996_film),2,A. R. Rahman,5.1
5,1996,Parambarai,K. S. Ravikumar,"Prabhu, Roja",null,Malar Films,/wiki/Parambarai,2,"Deva,Deva",
6,1996,Thayagam,A. R. Ramesh,"Vijayakanth, Ranjitha",null,Seranaadu Movie Creations,/wiki/Thayagam,2,"Deva,Deva",5.3
7,1996,Thirumbi Paar,Rama Narayanan,"Saravanan, Yuvarani",null,Sri Thenandal Films,/wiki/Thirumbi_Paar_(1996_film),2,"Deva,Deva",6.3
8,1996,Ullathai Allitha,Sundar C.,"Karthik, Rambha, Goundamani",null,Ganga Gowri Productions,/wiki/Ullathai_Allitha,3,Sirpy,7.7
9,1996,Vaanmathi,Agathiyan,"Ajith Kumar, Swathi",null,Sivashakthi Movie Makers,/wiki/Vaanmathi,2,"Deva,Deva",5.8
10,1996,Mahaprabhu,A. Venkatesh,"Sarath Kumar, Sukanya, Vineetha",null,Sri Sai Theja Films,/wiki/Mahaprabhu_(film),3,"Deva,Deva",
11,1996,Vaikarai Pookkal,E. Mu. Vetrivalan,"Raja, Rajashri, Ponvannan, Annam",null,Navachitra Cine Arts,/wiki/Vaikarai_Pookkal,4,Devendran,
12,1996,Amman Kovil Vaasalile,Ramarajan,"Ramarajan, Sangita",null,Mahalakshmi Film International,/wiki/Amman_Kovil_Vaasalile,2,Sirpy,
13,1996,Meendum Savithri,Visu,"Raja, Revathi",null,Vijaya Combines,/wiki/Meendum_Savithri,2,Devendran,6.0
14,1996,Nattupura Pattu,Kasthuri Raja,"Selva, Sivakumar, Kushboo",null,Kasthoori Manga Creations,/wiki/Nattupura_Pattu,3,Ilaiyaraaja,5.0
15,1996,Poove Unakkaga,Vikraman,"Vijay, Sangita",null,Super Good Films,/wiki/Poove_Unakkaga,2,S. A. Rajkumar,7.8
16,1996,Musthaffaa,R. Aravindraj,"Napoleon, Ranjitha",null,S. G. S. Cine Arts International,/wiki/Musthaffaa,2,"Vidyasagar,Vidyasagar",
17,1996,Kalloori Vaasal,Pavithran,"Ajith Kumar, Pooja Bhatt, Prashanth, Devayani",null,Aanand Associates,/wiki/Kalloori_Vaasal,4,"Deva,Deva",5.4
18,1996,Vaazhga Jananayagam,E. Ramdoss,"Mansoor Ali Khan, Pragathi",null,Raj Kennedy Films,/wiki/Vaazhga_Jananayagam,2,"Mansoor Ali Khan,S. P. Venkatesh",
19,1996,Summa Irunga Machan,S. N. Prasad,"Pandiarajan, Pragathi, Divyasri",null,Maruthi Art Films,/wiki/Summa_Irunga_Machan,3,"Deva,composer,Deva",
20,1996,Suriya Raja,Senthamizh Selvan,"C. S. Thamizh, Preetha",null,C. J. Films,,2,,
21,1996,Puthiya Parasakthi,Gowri Rajan,"Selva, Sukanya, Napoleon",null,Anitha Films,/wiki/Puthiya_Parasakthi,3,,
22,1996,Vasantha Vaasal,M. R,"Vijay, Swathi",null,Kumar Movies,/wiki/Vasantha_Vaasal,2,"Masa,Dhina,Dhina",6.9
23,1996,Irattai Roja,K. R.,"Ramki, Kushboo, Urvashi",null,Devi Kamal Films,/wiki/Irattai_Roja,3,Ilaiyaraaja,6.2
24,1996,Mappillai Manasu Poopola,Kuruvikkarambai Shanmugam,"Pandiarajan, Yuvarani",null,Kuru Kalaikkoodam,/wiki/Mappillai_Manasu_Poopola,2,"Deva,composer,Deva",6.4
25,1996,Maanbumigu Maanavan,S. A. Chandrasekhar,"Vijay, Swapna Bedi",null,7th Channel Communications,/wiki/Maanbumigu_Maanavan,2,"Deva,Deva",5.7
26,1996,Kaalam Maari Pochu,V. Sekhar,"Pandiarajan, Sangita",null,Thiruvalluvar Kalaikkoodam,/wiki/Kaalam_Maari_Pochu_(1996_film),2,"Deva,Deva",7.5
27,1996,Karuppu Roja,J. Paneer,"Ramki, Amar Siddique, Yosika, Vineetha",null,Ayngaran International,/wiki/Karuppu_Roja,4,M. S. V. Raja,
28,1996,Rajali,Velu Prabhakaran,"Ramki, Roja",null,Motherland Movies International,/wiki/Rajali,2,Aravind,
29,1996,Sengottai,C. V. Sasikumar,"Arjun, Meena, Rambha",null,Super Good Films,/wiki/Sengottai_(film),3,"Vidyasagar,Vidyasagar",7.1
30,1996,Indian,Shankar,"Kamal Haasan, Manisha Koirala, Urmila Matondkar, Sukanya",null,Sri Surya Movies,/wiki/Indian_(1996_film),4,A. R. Rahman,8.1
31,1996,Pudhu Nilavu,Vishnuhasan,"Jayaram, Vineetha",null,Rajlakshmi Cine Medias,/wiki/Pudhu_Nilavu,2,"Deva,Deva",
32,1996,Aavathum Pennale Azhivathum Pennale,Senthilnathan,"Arun Pandian, Rajashri",null,Tamil Annai Cine Creations,/wiki/Aavathum_Pennale_Azhivathum_Pennale,2,Bala Bharathi,
33,1996,Anthimanthaarai,Bharathiraja,"Vijayakumar, Jayasudha, Sanghavi",null,Megaa Movies,/wiki/Anthimanthaarai,3,A. R. Rahman,6.7
34,1996,Katta Panchayathu,R. Raghu,"Karthik, Kanaka",null,M. R. Enterprises,/wiki/Katta_Panchayathu,2,Ilaiyaraaja,5.2
35,1996,Krishna,Raja Krishnamoorthy,"Prashanth, Heera",null,Unique Creations,/wiki/Krishna_(1996_Tamil_film),2,S. A. Rajkumar,
36,1996,Avathara Purushan,Pandiyan Arivali,"Ranjith, Anand, Sivaranjani",null,Jagannathan Productions,/wiki/Avathara_Purushan,3,Sirpy,
37,1996,Minor Mappillai,V. C. Guhanathan,"Ajith Kumar, Keerthana, Subhashri",null,Victory Movies,/wiki/Minor_Mappillai,3,Isaivanan,5.6
38,1996,Veettukulle Thiruvizha,K. R. S. Jawahar,"Anand Babu, Sanghavi, Rohini, Vinodhini",null,Sundar Art Film International,/wiki/Veettukulle_Thiruvizha,4,"Deva,composer,Deva",
39,1996,Kadhal Kottai,Agathiyan,"Ajith Kumar, Devayani, Heera",null,Sivashakthi Movie Makers,/wiki/Kadhal_Kottai,3,"Deva,Deva",7.5
40,1996,Sundara Purushan,D. Sabapathy,"Livingston, Rambha",null,Super Good Films,/wiki/Sundara_Purushan_(1996_film),2,Sirpy,4.6
41,1996,Crime,Sukumar,"Venki, Shanti",null,United Universal Creations,,2,,
42,1996,En Aasai Thangachi,K. Shanmuga Mani,"Ramki, Balambika",null,Rams Movies,,2,,
43,1996,Tamizh Selvan,Bharathiraja,"Vijayakanth, Roja",null,Raaj Films International,/wiki/Tamizh_Selvan,2,"Deva,Deva",6.6
44,1996,Vetri Mugam,Thennavan,"Vignesh, Keerthana, Roopa Sree",null,Raja Rajan Cine Arts,/wiki/Vetri_Mugam,3,Vasantha Rajan,
45,1996,Poovarasan,Gokula Krishnan,"Karthik, Rachana Banerjee",null,Taj International,/wiki/Poovarasan,2,Ilaiyaraaja,5.1
46,1996,Enakkoru Magan Pirappan,K. R.,"Ramki, Kushboo",null,Pyramid Films International,/wiki/Enakkoru_Magan_Pirappan,2,Karthik Raja,4.8
47,1996,Priyam,N. Pandian,"Arun Kumar, Mantra",null,Kasthuri Film International,/wiki/Priyam_(1996_film),2,"Vidyasagar,Vidyasagar",
48,1996,Vishwanath,K. Goutham,"Saravanan, Mohini, Swathi",null,Janaki Ammal Movies,/wiki/Vishwanath_(1996_film),3,"Deva,composer,Deva",4.3
49,1996,Kadhal Desam,Kathir,"Vineeth, Abbas, Tabu",null,Gentleman Film International,/wiki/Kadhal_Desam,3,A. R. Rahman,6.8
50,1996,Mettukudi,Sundar C.,"Karthik, Nagma, Goundamani",null,Ganga Gowri Productions,/wiki/Mettukudi,3,Sirpy,6.6
51,1996,Manikkam,K. V. Pandian,"Rajkiran, Vanitha Vijayakumar",null,Amma Creations,/wiki/Manikkam,2,Karthik Raja,
52,1996,Sivasakthi,Suresh Krissna,"Sathyaraj, Prabhu, Rambha",null,M. G. Pictures,/wiki/Sivasakthi,3,"Deva,Deva",
53,1996,Vetri Vinayagar,K. Shankar,"Radha Ravi, Urvashi",null,Ammu Creations,/wiki/Vetri_Vinayagar_(film),2,M. S. Viswanathan,
54,1996,Namma Ooru Raasa,Ramarajan,"Ramarajan, Sangita",null,Nalini Cine Arts,/wiki/Namma_Ooru_Raasa,2,Sirpy,
55,1996,Ilamai Rojakkal,S. Manikandan,"Bhaskaran, Chandrika",null,Vijaya Cine Enterprises,,2,,
56,1996,Subash,R. V. Udayakumar,"Arjun, Revathi",null,Sivasree Pictures,/wiki/Subash_(film),2,"Vidyasagar,Vidyasagar",
57,1996,Parivattam,T. K. Rajendran,"Jayaram, Sukanya",null,Iyannar Cine Arts,/wiki/Parivattam_(1996_Film),2,,
58,1996,Kodugal Illatha Kolam,L. Balu,"Ramakrishnan, Sujatha",null,Salem Palanivel Murugan Movies,,2,,
59,1996,Tata Birla,C. Ranganathan,"Parthiban, Rachana Banerjee, Goundamani",null,Shree Vijayalakshmi Movieland,/wiki/Tata_Birla,3,"Vidyasagar,Vidyasagar",5.5
60,1996,Andha Naal,Vishnu Priyan,"Prem, Raja, Mohini",null,Empire Movies,/wiki/Andha_Naal_(1996_film),3,Soundaryan,7.8
