,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1968,Anbu Vazhi,M. Natesan,"Jaishankar, L. Vijayalakshmi, Nagesh",null,Pavithra Pictures,/w/index.php?title=Anbu_Vazhi&action=edit&redlink=1,M. S. Viswanathan,3,
2,1968,Andru Kanda Mugam,G. Ramakrishnan,"Ravichandran, Jayalalithaa, Nagesh",null,New India Productions,/wiki/Andru_Kanda_Mugam,K. V. Mahadevan,3,6.4
3,1968,Bommalattam,V. Srinivasan,"Jaishankar, Jayalalithaa, Nagesh, Cho",null,Muktha Films,/wiki/Bommalattam_(1968_film),V. Kumar,4,6.4
4,1968,Chakkaram,A. Kasilingam,"Gemini Ganesan, A. V. M. Rajan, Vennira Aadai Nirmala",null,Annai Films,/wiki/Chakkaram,S. M. Subbaiah Naidu,3,
5,1968,Deivega Uravu,Sathyam,"Jaishankar, Devika, Nagesh",null,Thirumurugan Pictures,/w/index.php?title=Deivega_Uravu&action=edit&redlink=1,K. V. Mahadevan,3,
6,1968,Delhi Mapillai,Devan,"Ravichandran, Rajasree, Cho, Sachu",null,Poomagal Productions,/wiki/Delhi_Mapillai,K. V. Mahadevan,4,
7,1968,DeviRemake of Malayalam film,A. K. Velan,"R. Muthuraman, Devika",null,Arunachalam Pictures,/wiki/Kavyamela,V. Dakshinamoorthy,2,8.3
8,1968,Ethir Neechal,K. Balachander,"Nagesh, R. Muthuraman, Sowcar Janaki, Jayanthi",null,Kalakendra Productions,/wiki/Ethir_Neechal_(1968_film),V. Kumar,4,8.1
9,1968,En Thambi,A. C. Tirulokchandar,"Sivaji Ganesan, B. Saroja Devi, K. Balaji",null,Sujatha Cine Arts,/wiki/En_Thambi,M. S. Viswanathan,3,6.2
10,1968,Enga Oor Raja,P. Madhavan,"Sivaji Ganesan, Jayalalithaa, Sowcar Janaki, Nagesh, Manorama",null,Arun Prasad Movies,/wiki/Enga_Oor_Raja,M. S. Viswanathan,5,5.8
11,1968,Galatta Kalyanam,C. V. Rajendran,"Sivaji Ganesan, Jayalalithaa, K. A. Thangavelu, Nagesh, Cho, Manorama, Sachu, A. V. M. Rajan, Jyothi Lakshmi",null,Ramkumar Films,/wiki/Galatta_Kalyanam,M. S. Viswanathan,9,7.5
12,1968,Harichandra,K. S. Prakash Rao,"Sivaji Ganesan, G. Varalakshmi, T. S. Balaiah, M. N. Nambiar",null,Pramodha Films,/wiki/Harichandra_(1968_film),K. V. Mahadevan,4,8.8
13,1968,Jeevanaamsam,Malliyam Rajagopal,"Jaishankar, C. R. Vijayakumari, A. V. M. Rajan, Pushpalatha, Nagesh, Sowcar Janaki",null,Malliyam Productions,/wiki/Jeevanaamsam,K. V. Mahadevan,6,
14,1968,Kallum Kaniyagum,K. Shankar,"T. M. Soundararajan, A. L. Raghavan, Nagesh, Rajasree, M. N. Rajam, Sachu",null,Sounder Ragavan Movies,/wiki/Kallum_Kaniyagum,M. S. Viswanathan,6,
15,1968,Kanavan,P. Neelakantan,"M. G. Ramachandran, Jayalalithaa, C. R. Vijayakumari",null,Valli Films,/wiki/Kanavan,M. S. Viswanathan,3,7.2
16,1968,Kannan En Kadhalan,P. Neelakantan,"M. G. Ramachandran, Jayalalithaa, Vanisri",null,Sathya Movies,/wiki/Kannan_En_Kadhalan,M. S. Viswanathan,3,6.5
17,1968,Kadhal Vaaganam,M. A. Thirumugam,"M. G. Ramachandran, Jayalalithaa, Vijaya Lalitha, Nagesh",null,Devar Films,/wiki/Kadhal_Vaaganam,K. V. Mahadevan,4,6.7
18,1968,Kollaikaran MaganDubbed from Kannada,A. V. Sheshagiri Rao,"Rajkumar, K. S. Ashwath, Jayanthi, M. P. Shankar, Udaykumar",null,Bhagavati Productions,/wiki/Bettada_Huli,T. G. Lingappa,5,
19,1968,Kudiyirundha Koyil,K. Shankar,"M. G. Ramachandran, Jayalalithaa, Rajasree",null,Saravana Screens,/wiki/Kudiyirundha_Koyil,M. S. Viswanathan,3,7.9
20,1968,Kuzhanthaikkaga,P. Madhavan,"Padmini, 'Baby' Rani, Major Sundarrajan, R. S. Manohar, S. V. Ramadoss",null,Vijaya & Suresh Combines,/wiki/Kuzhanthaikkaga,M. S. Viswanathan,5,6.4
21,1968,Lakshmi Kalyanam,G. Or. Nathan,"Sivaji Ganesan, Sowcar Janaki, Vennira Aadai Nirmala",null,Krishnalaya Productions,/wiki/Lakshmi_Kalyanam_(1968_film),M. S. Viswanathan,3,5.8
22,1968,Moondrezhuthu,T. R. Ramanna,"Ravichandran, Jayalalithaa, Nagesh",null,Sri Vinayaka Pictures,/wiki/Moondrezhuthu,T. K. Ramamoorthy,3,6.4
23,1968,Muthu Chippi,M. Krishnan,"Jaishankar, Jayalalithaa, Nagesh",null,Mohan Productions,/wiki/Muthu_Chippi,S. M. Subbaiah Naidu,3,6.7
24,1968,Naalum Therindhavan,C. P. Jambulingam,"Ravichandran, Kanchana, Anjali Devi, Nagesh",null,Sri Balaji Combines,/wiki/Naalum_Therindhavan,S. M. Subbaiah Naidu,4,
25,1968,Neelagiri Express,Thirumalai-Mahalingam,"Jaishankar, Vijaya Nirmala, Cho, Vijaya Lalitha",null,A.L.S. Productions,/wiki/Neelagiri_Express,T. K. Ramamoorthy,4,6.8
26,1968,Neeyum Naanum,T. R. Ramanna,"Ravichandran, Rajasree, Nagesh",null,Iris Movies,/w/index.php?title=Neeyum_Naanum_(1968_film)&action=edit&redlink=1,M. S. Viswanathan,3,8.0
27,1968,Nervazhi,M. G. Balu Rao,"Jaishankar, Vanisri, R.S. Manohar, Vijaya Lalitha",null,Dhandayuthapani Films,/w/index.php?title=Nervazhi&action=edit&redlink=1,R. Diwakar,4,
28,1968,Nimirndhu Nil,Devan,"Ravichandran, Bharathi, Sowcar Janaki",null,Kamal Brothers,/w/index.php?title=Nimirndhu_Nil_(1968_film)&action=edit&redlink=1,M. S. Viswanathan,3,6.6
29,1968,Oli Vilakku,Tapi Chanakya,"M. G. Ramachandran, Jayalalithaa, Sowcar Janaki",null,Gemini Studios,/wiki/Oli_Vilakku,M. S. Viswanathan,3,7.4
30,1968,Paal Manam,K. S. Sethumadhavan,"Jaishankar, K. R. Vijaya, Sivakumar, Sheela",null,Sri Nataraja Productions,/w/index.php?title=Paal_Manam&action=edit&redlink=1,R Parthasarathy,4,
31,1968,Panakkara Pillai,C. P. Jambulingam,"Ravichandran, Jayalalithaa, Nagesh",null,Annai Films,/wiki/Panakkara_Pillai,S. M. Subbaiah Naidu,3,
32,1968,Panama Pasama,K. S. Gopalakrishnan,"Gemini Ganesan, B. Saroja Devi, Nagesh",null,Ravi Productions,/wiki/Panama_Pasama,K. V. Mahadevan,3,6.2
33,1968,Poovum Pottum,Dada Mirasi,"S. V. Ranga Rao, P. Bhanumathi, A. V. M. Rajan, R. Muthuraman, Bharathi",null,Vasu Films,/wiki/Poovum_Pottum,R. Govardhanam,5,
