,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,2002,Alli Arjuna,Saran,"Manoj Bharathiraja, Richa Pallod, Preetha",null,Janani Art Creations,/wiki/Alli_Arjuna,3,A. R. Rahman,3.6
2,2002,Azhagi,Thangar Bachan,"Parthiban, Nandita Das, Devayani",null,Udayageetha Cine Creations,/wiki/Azhagi_(2002_film),3,Ilaiyaraaja,7.1
3,2002,Pammal K. Sambandam,Mouli,"Kamal Haasan, Simran, Abbas, Sneha",null,Sri Rajlakshmi Films,/wiki/Pammal_K._Sambandam,4,"Deva,Deva",7.1
4,2002,Punnagai Desam,K. Shajahan,"Tarun, Kunal, Sneha, Hamsavardhan, Preetha",null,Super Good Films,/wiki/Punnagai_Desam,5,S. A. Rajkumar,7.4
5,2002,Red,Ram Sathya,"Ajith Kumar, Priya Gill, Salim Ghouse",null,NIC Arts,/wiki/Red_(2002_film),3,"Deva,Deva",4.3
6,2002,Vivaramana Aalu,K. Selva Bharathy,"Sathyaraj, Devayani, Mumtaj",null,Evergreen Movies International,/wiki/Vivaramana_Aalu,3,"Deva,Deva",
7,2002,Mangalyam,V. J. Rao-Asra,"Thalaivasal Vijay, Thara",null,,,2,,
8,2002,Amaiyappan,Rama Murugapandian,"Ponnambalam, Roshini",null,,,2,,
9,2002,Shakalaka Baby,Rama Narayanan,"Ramki, Roja",null,Shivakami Production,/wiki/Shakalaka_Baby_(film),2,S. A. Rajkumar,8.3
10,2002,Dhaya,Senthil Kumar,"Prakash Raj, Meena, Raghuvaran",null,Duet Movies,/wiki/Dhaya_(film),3,"Bharadwaj,Bharadwaj",5.1
11,2002,Kannathil Muthamittal,Mani Ratnam,"R. Madhavan, Simran, Nandita Das",null,Madras Talkies,/wiki/Kannathil_Muthamittal,3,A. R. Rahman,8.4
12,2002,Charlie Chaplin,Sakthi Chidambaram,"Prabhu, Prabhu Deva, Abhirami, Gayathri Raguram",null,Roja Combines,/wiki/Charlie_Chaplin_(2002_film),4,"Bharani,Bharani",6.1
13,2002,Kamarasu,P. C. Anbazhagan,"Murali, Laila",null,Shanthi Vanaraja Films,/wiki/Kamarasu,2,S. A. Rajkumar,5.2
14,2002,Roja Kootam,Sasi,"Srikanth, Bhoomika, Raadhika",null,Oscar Films,/wiki/Roja_Kootam,3,Bharathwaj,6.1
