,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1987,Aalappirandhavan,A. S. Pragasam,"Sathyaraj, Ambika, Silk Smitha, Master Tinku",null,Pragaas Productions,/wiki/Aalappirandhavan,Ilaiyaraaja,4,
2,1987,Aankalai Nambathey,K. Alex Pandian,"Pandiyan, Rekha, Ramya Krishnan, Senthil, V. K. Ramasamy, S. S. Chandran",null,Alamu Movies,/wiki/Aankalai_Nambathey,Devendran,6,
3,1987,Aayusu Nooru,Ponmani Rajan,"Pandiyan, Pandiarajan, Ranjini, Senthil, Kovai Sarala",null,Sampath Creations,/wiki/Aayusu_Nooru,T. Rajendar,5,
4,1987,Anand,C. V. Rajendran,"Prabhu, Radha, Jayashree, Chinni Jayanth",null,Sivaji Productions,/wiki/Anand_(1987_film),Ilaiyaraaja,4,5.0
5,1987,Ananda Aradhanai,Dinesh Baboo,"Mohan, Suhasini, Lizy, Srividya, Senthil, Kovai Sarala",null,Jai Krishna Combines,/wiki/Ananda_Aradhanai,Manoj Gyan,6,
6,1987,Anbulla Appa,A. C. Tirulokchandar,"Sivaji Ganesan, Nadhiya, Rahman, V. K. Ramasamy, Y. G. Mahendra, Manorama, Sangeetha, Baby Sujitha",null,AVM Productions,/wiki/Anbulla_Appa,Sankar Ganesh,8,6.2
7,1987,Anjatha Singam,M. R. Vijaychander,"Prabhu, Sathyaraj, Nalini, Jaishankar, Silk Smitha, Anuradha, Senthil, Vanitha",null,Karthik Arts,/wiki/Anjatha_Singam,Sankar Ganesh,8,
8,1987,Arul Tharum Ayyappan,Dasarathan,"Pandiyan, M. Viswanathan, Rekha, Raghuvaran, Senthil",null,Sri Balamurugan Film Circuit,/w/index.php?title=Arul_Tharum_Ayyappan&action=edit&redlink=1,Dhinakar,5,
9,1987,Aval Mella Sirithal,M. N. Jai Sundar,"Murali, Seetha, Madhuri, S. S. Chandran, Chinni Jayanth, Charle",null,Sri Kavitha Cine Arts,/wiki/Aval_Mella_Sirithal,Gangai Amaran,6,
10,1987,Chellakutti,K. Natraj,"Suresh, Jayashree, Sarath Babu, Sujatha",null,Dhandayudhapani Films,/w/index.php?title=Chellakutti&action=edit&redlink=1,Gangai Amaran,4,
11,1987,Chinna Kuyil Paaduthu,P. Madhavan,"Sivakumar, Ambika, Ilavarasi, Cho, Senthil, Manorama, Kovai Sarala, Master Tinku",null,Karpagam Films,/wiki/Chinna_Kuyil_Paaduthu,Ilaiyaraaja,8,4.6
12,1987,Chinna Poove Mella Pesu,Robert - Rajasekhar,"Prabhu, Ramki, Narmadha, Shubha, Sudha Chandran, Sabitha Anand, Chinni Jayanth",null,Ess Kay Film Combines,/wiki/Chinna_Poove_Mella_Pesu,"S. A. Rajkumarst movie
",7,
13,1987,Chinna Thambi Periya Thambi,Manivannan,"Sathyaraj, Prabhu, Nadhiya, Nizhalgal Ravi, Sudha Chandran",null,Semba Creations,/wiki/Chinna_Thambi_Periya_Thambi,Gangai Amaran,5,6.0
14,1987,Cooliekkaran,Rajasekhar,"Vijayakanth, Jaishankar, Srividya, Rupini, Radha Ravi, Silk Smitha, Nagesh, S. S. Chandran",null,Kalaippuli International,/wiki/Cooliekkaran,T. Rajendar,8,
15,1987,Dhoorathu Pachai,Manobala,"Karthik, Suhasini, Thulasi",null,Sri Lakshmi Art Movies,/wiki/Dhoorathu_Pachai,Ilaiyaraaja,3,6.2
16,1987,Elangeswaran,T. R. Ramanna,"K. R. Vijaya, Rajesh, Revathi, Srividya, Sripriya",null,Sri Sivakami Productions,/w/index.php?title=Elangeswaran_(film)&action=edit&redlink=1,M. S. Viswanathan,5,6.7
17,1987,Ellaikodu,K. Jothipandiyan,"Saritha, Rajesh, Radha Ravi",null,S. S. G. Films,/w/index.php?title=Ellaikodu&action=edit&redlink=1,Sankar Ganesh,3,
18,1987,Enga Chinna Rasa,K. Bhagyaraj,"K. Bhagyaraj, Radha, C. R. Saraswathy",null,Sri Amman Creations,/wiki/Enga_Chinna_Rasa,Sankar Ganesh,3,6.6
19,1987,Enga Ooru Pattukaran,Gangai Amaran,"Ramarajan, Rekha, Nishanthi, S. S. Chandran, Senthil, Kovai Sarala",null,Meenakshi Arts,/wiki/Enga_Ooru_Pattukaran,Ilaiyaraaja,6,5.5
20,1987,Enga Veettu Ramayanan,K. Chozha Rajan,"Karthik, S. Ve. Shekher, Ilavarasi, Mahalakshmi, S. S. Chandran, Vanitha",null,Anil Creations,/w/index.php?title=Enga_Veettu_Ramayanan&action=edit&redlink=1,Sankar Ganesh,6,5.6
21,1987,Etikku Potti,R. Govindarajan,"Pandiarajan, Saritha, Chithrangi, Rajeev",null,Murali Cine Arts,/w/index.php?title=Etikku_Potti&action=edit&redlink=1,Gangai Amaran,4,
22,1987,Evargal Indiyargal,S. Jagadeesan,"Ramarajan, Madhuri, Lakshmi, Senthil",null,Oaam Selvi Arts,/wiki/Evargal_Indiyargal,Manoj Gyan,4,
23,1987,Gramatthu Minnal,K. Rangaraj,"Ramarajan, Revathi, Raja, Goundamani",null,Keerthana Creations,/wiki/Gramatthu_Minnal,Ilaiyaraaja,4,
24,1987,Idhu Oru Thodar Kathai,Anu Mohan,"Mohan, Amala, Rekha, Goundamani, Senthil",null,Royal India Creations,/wiki/Idhu_Oru_Thodar_Kathai,Gangai Amaran,5,
25,1987,Ini Oru Sudhanthiram,Manivannan,"Sivakumar, Nalini, Chandrasekhar, Pandiyan, Rekha, Raja, Jeevitha, Sulakshana, Janagaraj, Senthil, Kovai Sarala",null,Kalaikovil,/wiki/Ini_Oru_Sudhanthiram,Gangai Amaran,11,
26,1987,Iniya Uravu Poothathu,C. V. Sridhar,"Suresh, Nadhiya, S. Ve. Shekher, Babita, Cho",null,Sri Rajakaliamman Productions,/wiki/Iniya_Uravu_Poothathu,Ilaiyaraaja,5,
27,1987,Ival Oru Pournami,T. P. K.,"Raveendran, Seetha, Rooplatha, Sri Raman",null,T. P. K. Productions,/w/index.php?title=Ival_Oru_Pournami&action=edit&redlink=1,T. K. Ramamoorthy,4,
28,1987,Ivargal Varungala Thoongal,Venkat,"Prabhu, Ambika, Raghuvaran, Jaishankar, Jayachitra, Nagesh, Disco Shanti",null,Perfect Productions,/wiki/Ivargal_Varungala_Thoongal,T. Rajendar,7,
29,1987,Jallikattu,Manivannan,"Sivaji Ganesan, Sathyaraj, Radha, Janagaraj",null,Seetha Lakshmi Art Films,/wiki/Jallikattu_(1987_film),Ilaiyaraaja,4,6.7
30,1987,Kaani Nilam,S. Arunmozhi,"Kalairani, Nassar, Delhi Ganesh",null,Latha Creations,/w/index.php?title=Kaani_Nilam&action=edit&redlink=1,Arun,3,
31,1987,Kadamai Kanniyam Kattupaadu,Santhana Bharathi,"Sathyaraj, Nalini, Jeevitha, Geetha",null,Raaj Kamal Films International,/wiki/Kadamai_Kanniyam_Kattupaadu,Ilaiyaraaja,4,7.8
32,1987,Kadhal Parisu,A. Jagannathan,"Kamal Haasan, Ambika, Radha, Jaishankar, Janagaraj, Kovai Sarala",null,Sathya Movies,/wiki/Kadhal_Parisu,Ilaiyaraaja,6,6.1
33,1987,Kalyana Kacheri,Manivannan,"Arjun, Ilavarasi, Senthil, Anuradha, Chinni Jayanth",null,Suriyaraj Combines,/w/index.php?title=Kalyana_Kacheri_(1987_film)&action=edit&redlink=1,Ilaiyaraaja,5,
34,1987,Kathai Kathayam Karanamam,Y. G. Mahendra,"Y. G. Mahendra, Pallavi, Jaishankar, Visu, Manorama",null,Sri Lakshmi Jyothi Movies,/w/index.php?title=Kathai_Kathayam_Karanamam&action=edit&redlink=1,M. S. Viswanathan,5,
35,1987,Kavalan Avan Kovalan,Visu,"Prabhu, Rekha, Madhuri, Visu, Prameela, Kalaranjini",null,K. R. G. Film Circuit,/wiki/Kavalan_Avan_Kovalan,Vijay Anand,6,5.2
36,1987,Kavithai Paada Neramillai,Yugi Sethu,"Amala, Raghuvaran, Yugi Sethu, Nassar",null,Maayas Cope Film Company,/wiki/Kavithai_Paada_Neramillai,L. Vaidyanathan,4,
37,1987,Kizhakku Africavil Sheela,Dwarakish,"Suresh, Shakeela, Senthil, Kovai Sarala",null,Dwarakish Chithra,/wiki/Kizhakku_Africavil_Sheela,Bappi Lahiri,4,
38,1987,Kootu Puzhukkal,R. C. Sakthi,"Raghuvaran, Amala, Chandrasekhar, Y. Vijaya",null,Palayee Amman Art Creations,/wiki/Kootu_Puzhukkal,M. S. Viswanathan,4,
39,1987,Krishnan Vandhaan,K. Vijayan,"Sivaji Ganesan, Mohan, Rekha, Thengai Srinivasan",null,S. L. S. Productions,/wiki/Krishnan_Vandhaan,Ilaiyaraaja,4,
40,1987,Makkal En Pakkam,Karthick Raghunath,"Sathyaraj, Ambika, Rajesh, Nagesh, Janagaraj, Manorama, Anuradha",null,Suresh Arts,/wiki/Makkal_En_Pakkam,Chandrabose,7,5.8
41,1987,Manaivi Ready,Pandiarajan,"Pandiarajan, Debashree Roy, K. A. Thangavelu, R. S. Manohar, Manorama",null,Rathnam Art Movies,/wiki/Manaivi_Ready,Ilaiyaraaja,5,6.8
42,1987,Manathil Uruthi Vendum,K. Balachandar,"Suhasini, Sridhar, S. P. Balasubrahmanyam, Ramesh Aravind",null,Kavithalayaa Productions,/wiki/Manathil_Uruthi_Vendum,Ilaiyaraaja,4,6.9
43,1987,Mangai Oru Gangai,Hariharan,"Saritha, Suresh, Nadhiya",null,Motherland Pictures,/wiki/Mangai_Oru_Gangai,Laxmikant–Pyarelal,3,
44,1987,Manithan,S. P. Muthuraman,"Rajinikanth, Rupini, Srividya, Raghuvaran, Madhuri, Cho, Senthil",null,AVM Productions,/wiki/Manithan_(1987_film),Chandrabose,7,6.5
45,1987,Meendum Mahaan,Uthaman,"Pandiarajan, Murali, Rahman, Rekha, Madhuri, S. Ve. Shekher, Aruna",null,Rathnam Cine Arts,/w/index.php?title=Meendum_Mahaan&action=edit&redlink=1,V. Kumar,7,
46,1987,Megam Karuththirukku,Rama Narayanan,"Prabhu, Rekha, S. S. Chandran",null,Sri Thenandal Films,/wiki/Megam_Karuththirukku,Manoj Gyan,3,
47,1987,Michael Raj,V. C. Guhanathan,"Raghuvaran, Madhuri, Sarath Babu, Sumithra, Senthil, Viji, Baby Shalini",null,Suresh Productions,/wiki/Michael_Raj,Chandrabose,7,
48,1987,Mupperum Deviyar,K. Shankar,"K. R. Vijaya, Sujatha, Lakshmi, Prabhu, Ambika, Senthil",null,Ammu Creations,/wiki/Mupperum_Deviyar,M. S. Viswanathan,6,
49,1987,Muthukkal Moondru,A. Jagannathan,"Sivaji Ganesan, Sathyaraj, Pandiarajan, Ranjini, Thengai Srinivasan, Manorama, Baby Sujitha",null,Padmam Production,/wiki/Muthukkal_Moondru,T. Rajendar,7,5.8
50,1987,My Dear Lisa,Baby,"Nizhalgal Ravi, Sadhana, Jaya Rekha, Manorama",null,Asha Creations,/wiki/Veendum_Lisa,Reghu Kumar,4,
