,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,1997,Sakthi,R. Raghu Raj,"Vineeth, Yuvarani",null,Gentleman Film International,/wiki/Sakthi_(1997_film),2,R. Anandh,
2,1997,Dharma Chakkaram,K. S. Ravikumar,"Vijayakanth, Deepti Bhatnagar, Rambha",null,Lakshmi Movie Makers,/wiki/Dharma_Chakkaram,3,"Deva,Deva",
3,1997,Iruvar,Mani Ratnam,"Mohanlal, Aishwarya Rai, Prakash Raj, Gouthami, Revathi, Tabu",null,Madras Talkies,/wiki/Iruvar,6,A. R. Rahman,8.5
4,1997,Kaalamellam Kaathiruppen,R. Sundarrajan,"Vijay, Dimple",null,M. G. Pictures,/wiki/Kaalamellam_Kaathiruppen,2,"Deva,Deva",6.5
5,1997,Kathirunda Kadhal,Vijeshwaran,"Arun Vijay, Suvalakshmi",null,Ganga Gowri Productions,/wiki/Kathirunda_Kadhal,2,Sirpy,
6,1997,Minsara Kanavu,Rajiv Menon,"Prabhu Deva, Arvind Swamy, Kajol",null,AVM Productions,/wiki/Minsara_Kanavu,3,A. R. Rahman,7.0
7,1997,Nalla Manusukkaran,Jayarajendran,"Pandiarajan, Jayaragini",null,Annai Sree Baalaambikai Creations,/wiki/Nalla_Manusukkaran,2,"Deva,Deva",
8,1997,Om Saravana Bhava,N. Krishnaswamy,"Sowmyan, Vidyasri",null,,,2,,
9,1997,Periya Thambi,Chitra Lakshmanan,"Prabhu, Nagma",null,Gayathri Films,/wiki/Periya_Thambi,2,"Deva,Deva",
10,1997,Bharathi Kannamma,Cheran,"R. Parthiban, Meena",null,Pangaj Productions,/wiki/Bharathi_Kannamma,2,"Deva,Deva",7.2
11,1997,Gopura Deepam,Ramarajan,"Ramarajan, Sukanya",null,Kashtoori Films International,/wiki/Gopura_Deepam,2,Soundaryan,
12,1997,Nesam,K. Subash,"Ajith Kumar, Maheswari",null,Dhanooja Films,/wiki/Nesam,2,,6.5
13,1997,Pudhayal,Selva,"Mammooty, Arvind Swamy, Aamani, Sakshi Shivanand",null,Cheran Cine Makers,/wiki/Pudhayal,4,"Vidyasagar,Vidyasagar",6.0
14,1997,Kaalamellam Kadhal Vaazhga,R. Balu,"Murali, Kausalya",null,Sivasakthi Movie Makers,/wiki/Kaalamellam_Kadhal_Vaazhga,2,"Deva,Deva",6.3
15,1997,Ettupatti Rasa,Kasthuri Raja,"Napoleon, Kushboo, Urvashi",null,Pyramid Films International,/wiki/Ettupatti_Rasa,3,"Deva,Deva",5.8
16,1997,Parama Pithaa,K. Alexander,"Nizhalgal Ravi, Vijaya",null,,,2,,
17,1997,Vaimaye Vellum,P. Vasu,"R. Parthiban, Rachana Banerjee",null,S. B. Films,/wiki/Vaimaye_Vellum,2,,
18,1997,Mannava,L. M. Balaji,"Prashanth, Sanghavi, Urvashi",null,Star Movies,/wiki/Mannava_(film),3,"Deva,Deva",
19,1997,Maradha Uravu,Thiruvarangan,"Rajiv, Rajam",null,,,2,,7.3
20,1997,Adhipathi,Balaraja,"Varunraj, Apsara",null,,,2,,5.4
21,1997,Aravindhan,T. Nagarajan,"Sarath Kumar, R. Parthiban, Nagma",null,Amma Creations,/wiki/Aravindhan,3,Yuvan Shankar Raja,5.2
22,1997,Mappillai Gounder,Manivasagam,"Prabhu, Sakshi Shivanand, Swathi",null,Janaki Films,/wiki/Mappillai_Gounder,3,"Deva,Deva",4.6
23,1997,Vivasaayi Magan,Ramarajan,"Ramarajan, Devayani",null,Mahalakshmi International,/wiki/Vivasaayi_Magan,2,Sirpy,
24,1997,Arunachalam,Sundar C.,"Rajinikanth, Soundarya, Rambha",null,Annamalai Cine Combines,/wiki/Arunachalam_(film),3,"Deva,Deva",7.4
25,1997,Thaali Pudhusu,Keyar,"Ramki, Kushboo",null,Perumal Productions,/wiki/Thaali_Pudhusu,2,"Raj,Koti,Raj,Vidyasagar,Vidyasagar",
26,1997,Dhinamum Ennai Gavani,A. R. Ramesh,"Ramki, Sanghavi",null,Tamilannai Cine Creations,/wiki/Dhinamum_Ennai_Gavani,2,Sirpy,6.6
27,1997,My India,K. Alex Pandian,"Anandaraj, Swathi",null,,,2,,8.5
28,1997,Raasi,Muraliappas,"Ajith Kumar, Rambha",null,NIC Arts,/wiki/Raasi,2,Sirpy,4.7
29,1997,Vallal,Rajkapoor,"Sathyaraj, Meena, Roja, Sangeetha",null,Raaj Films International,/wiki/Vallal,4,"Deva,Deva",5.9
30,1997,Sishya,Selva,"Karthik, Roshini",null,Tharangai V. Sunder,/wiki/Sishya_(film),2,,
