,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,1998,Moovendhar,Suraj,"Sarath Kumar, Devayani",null,Ganga Gowri Production,/wiki/Moovendhar,2,Sirpy,
2,1998,Kaadhale Nimmadhi,Indiran,"Murali, Suriya, Jeevitha Sharma, Sangeetha",null,Sivasakthi Movie Makers,/wiki/Kaadhale_Nimmadhi,4,"Deva,Deva",5.8
3,1998,Kizhakkum Merkkum,Kalanjiyam,"Napoleon, Devayani",null,Deivanai Movie International,/wiki/Kizhakkum_Merkkum,2,Ilaiyaraaja,4.2
4,1998,Maru Malarchi,Bharathi,"Mammooty, Devayani, Ranjith",null,Pangaj Productions,/wiki/Maru_Malarchi,3,S. A. Rajkumar,6.8
5,1998,Naam Iruvar Namakku Iruvar,Sundar C.,"Prabhu Deva, Meena, Maheswari",null,BS Arts,/wiki/Naam_Iruvar_Namakku_Iruvar,3,Karthik Raja,6.8
6,1998,Ponmanam,S. P. Rajkumar,"Prabhu, Suvalakshmi, Priya Raman",null,Pyramid Films International,/wiki/Ponmanam,3,S. A. Rajkumar,
7,1998,Ulavuthurai,Ramesh Selvan,"Vijayakanth, Meena, Sanghavi",null,IV Cine Arts,/wiki/Ulavuthurai,3,Shah,6.6
8,1998,Udhavikku Varalaamaa,Gokula Krishnan,"Karthik, Devayani, Sangeetha, Anju Aravind",null,Taaj International,/wiki/Udhavikku_Varalaamaa,4,Sirpy,
9,1998,Kondattam,K. S. Ravikumar,"Arjun, Gemini Ganesan, Simran, Mantra",null,Sai Lakshmi Movie Makers,/wiki/Kondattam,4,,
10,1998,Dhinamdhorum,Nagarajan,"Murali, Suvalakshmi",null,Mother Movie Makers,/wiki/Dhinamdhorum,2,,9.2
11,1998,Sundara Pandian,R. Raghu,"Karthik, Swathi, Heera",null,Jupiter Film Makers,/wiki/Sundara_Pandian,3,,6.9
12,1998,Swarnamukhi,K. S. Adhiyaman,"R. Parthiban, Devayani",null,Muthu Movies,/wiki/Swarnamukhi_(film),2,,5.6
13,1998,Velai,J. Suresh,"Vignesh, Indraja",null,JV Films,/wiki/Velai,2,Yuvan Shankar Raja,
14,1998,Kaadhal Mannan,Saran,"Ajith Kumar, Maanu",null,Venkateswaralayam,/wiki/Kaadhal_Mannan,2,Bharathwaj,7.1
15,1998,Kalar Kanavugal,Vishnu,"Karan, Kushboo",null,KRK Movies,/wiki/Kalar_Kanavugal,2,Adithyan,
16,1998,Kangalin Vaarthaigal,Muktha S. Sundar,"Vikram, Prema, Sriram",null,Mukthaa Films,/wiki/Kangalin_Vaarthaigal,3,Ilayaraja,
17,1998,Vaettiya Madichu Kattu,K. Bhagyaraj,"K. Bhagyaraj, Nagma",null,Saranya Cini Combines,/wiki/Vaettiya_Madichu_Kattu,2,"Deva,Deva",5.4
18,1998,Thulli Thirintha Kaalam,Balasekaran,"Arun Kumar, Kushboo, Roshini",null,Kavithalayaa Productions,/wiki/Thulli_Thirintha_Kaalam,3,Jayanth,7.2
19,1998,Ini Ellam Sugame,A. R. Ramesh,"Abbas, Sanghavi, Sangeetha",null,Valli Cine Arts,/wiki/Ini_Ellam_Sugame,3,,
