,year,title,director,cast,genre,producer,link,music,cast_size,imdb
1,1984,24 Mani Neram,Manivannan,"Mohan, Jaishankar, Nalini, Sathyaraj, Swapna, Ilavarasi",null,Thirupathiswamy Pictures,/wiki/24_Mani_Neram,Ilaiyaraaja,6,5.8
2,1984,Aathora Aatha,Mangadu Ramachandran,"Chakravarthy, Raghuvaran, Anuradha, Y. Vijaya",null,Sri Jothi Arts,/w/index.php?title=Aathora_Aatha&action=edit&redlink=1,S. Neminathan,4,6.3
3,1984,Aayiram Kaigal,A. V. Babu,"Ramakrishnan, Samundeeswari",null,Kailash Combines,/w/index.php?title=Aayiram_Kaigal&action=edit&redlink=1,Malaysia Vasudevan,2,
4,1984,Achamillai Achamillai,K. Balachander,"Rajesh, Saritha, Delhi Ganesh, Pavithra, Ahalaya",null,Kavithalayaa Productions,/wiki/Achamillai_Achamillai,V. S. Narasimhan,5,6.9
5,1984,Alaya Deepam,C. V. Sridhar,"Sujatha, Jaishankar, Suresh, Rajesh, Ilavarasi, Vanitha, Y. G. Mahendra, Thengai Srinivasan, Manorama",null,K. R. G. Film Circuit,/wiki/Alaya_Deepam,M. S. Viswanathan,9,
6,1984,Ambigai Neril Vanthaal,Manivannan,"Mohan, Radha, Y. G. Mahendra, Janagaraj",null,Ram Arts,/wiki/Ambigai_Neril_Vanthaal,Ilaiyaraaja,4,5.6
7,1984,Amma Irukka,Major Sundarrajan,"Sivakumar, Jaishankar, Sulakshana, V. K. Ramasamy, Major Sundarrajan, Thengai Srinivasan, Manorama, Tambaram Lalitha",null,S. M. G. Pictures,/w/index.php?title=Amma_Irukka&action=edit&redlink=1,Sankar Ganesh,8,
8,1984,Anbe Odi Vaa,R. Ranjith Kumar,"Mohan, Urvashi, Manorama",null,K. R. Art Pictures,/wiki/Anbe_Odi_Vaa,Ilaiyaraaja,3,
9,1984,Anbulla Malare,B. R. Ravishankar,"Sarath Babu, Shanthi Krishna, Vijay Menon",null,V. V. Combines,/wiki/Anbulla_Malare,Ilaiyaraaja,3,
10,1984,Anbulla Rajinikanth,K. Natraj,"Rajinikanth, Ambika, Baby Meena",null,S. T. Combines,/wiki/Anbulla_Rajinikanth,Ilaiyaraaja,3,6.2
11,1984,Antha June 16 Am Naal,A. Shanmugam,"Sivachandran, Rathi Devi, V. S. Raghavan",null,Bama Creation,/w/index.php?title=Antha_June_16_Am_Naal&action=edit&redlink=1,T. K. Ramamoorthy,3,7.1
12,1984,Antha Uravukku Satchi,R. Pattabhiraman,"Srikanth, Sivachandran, Sumithra, Y. Vijaya",null,Kaveri Pictures,/w/index.php?title=Antha_Uravukku_Satchi&action=edit&redlink=1,Sankar Ganesh,4,
