,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,1995,Karuppu Nila,R. Sundarrajan,"Vijayakanth, Kushboo, Ranjitha",null,Ravuther Films,/wiki/Karuppu_Nila,3,"Deva,Deva",
2,1995,Engirundho Vandhan,Santhana Bharathi,"Sivaji Ganesan, Sathyaraj, Roja, Aamani",null,V. S. R. Pictures,/wiki/Engirundho_Vandhan,4,"Viswanathan,Ramamoorthy",
3,1995,Baashha,Suresh Krissna,"Rajinikanth, Nagma",null,Sathya Movies,/wiki/Baashha,2,"Deva,composer,Deva",8.2
4,1995,Kattumarakaran,P. Vasu,"Prabhu, Eva Grover, Sanghavi",null,A. G. S. Movies,/wiki/Kattumarakaran,3,"Ilaiyaraaja,Deva,Deva",
5,1995,Naan Petha Magane,V. Sekhar,"Nizhalgal Ravi, Raadhika, Urvashi, Manorama",null,Manithalayam Productions,/wiki/Naan_Petha_Magane,4,"Chandrabose,composer,Chandrabose",5.9
6,1995,Oru Oorla Oru Rajakumari,K. Bhagyaraj,"K. Bhagyaraj, Meena",null,Indrani Movies,/wiki/Oru_Oorla_Oru_Rajakumari,2,Ilaiyaraaja,6.0
7,1995,Sathi Leelavathi,Balu Mahendra,"Kamal Haasan, Ramesh Aravind, Kalpana, Heera, Kovai Sarala",null,Raaj Kamal Films International,/wiki/Sathi_Leelavathi_(1995_film),5,Ilaiyaraaja,8.2
8,1995,Veluchami,Arul,"Sarath Kumar, Vineetha, Shruthi",null,Lakshmi Movie Makers,/wiki/Veluchami,3,"Deva,Deva",
9,1995,Gangai Karai Paattu,Manivannan,"Varun Raj, Roopa Sri, Manivannan",null,Kokkintha Cine Arts,/wiki/Gangai_Karai_Paattu,3,"Deva,Deva",
10,1995,Mudhal Udhayam,Prithviraj,"Arjun, Suman Ranganathan",null,Mother Cine Productions,/wiki/Mudhal_Udhayam,2,Shankar Ganesh,
11,1995,Paattu Padava,B. R. Vijayalakshmi,"S. P. Balasubrahmanyam, Rahman, Lavanya",null,Kiran Films,/wiki/Paattu_Padava,3,Ilaiyaraaja,
12,1995,Valli Vara Pora,S. V. Solai Raja,"Pandiarajan, Mohana, Nirosha",null,Greenways Film International,/wiki/Valli_Vara_Pora,3,K. S. Mani Oli,
13,1995,Raja Muthirai,R. K. Selvamani,"Arun Pandian, Roja, Vineetha",null,Varshini Pictures,/wiki/Raja_Muthirai,3,Ilaiyaraaja,
14,1995,Deva,S. A. Chandrasekhar,"Vijay, Swathi",null,B. V. Combines,/wiki/Deva_(1995_film),2,,7.1
15,1995,Kizhakku Malai,Ganesh Ramana,"Anand, Suvarna Mathew",null,R. R. Film Units,/w/index.php?title=Kizhakku_Malai&action=edit&redlink=1,2,,
16,1995,Muthu Kaalai,Gokula Krishnan,"Karthik, Soundarya",null,Sri R. K. Film Makers,/wiki/Muthu_Kaalai,2,Ilaiyaraaja,5.8
17,1995,Thottil Kuzhandhai,S. P. Muthuraman,"Ramki, Ranjitha",null,Meena Movies,/wiki/Thottil_Kuzhandhai,2,Adithyan,
18,1995,Chinna Mani,M. Thilakarajan,"Napoleon, Kasthuri",null,Shivashree Pictures,/wiki/Chinna_Mani,2,"Deva,Deva",
19,1995,Kalyanam,R. Narayanan,"Vishnu, Vinodhini",null,Sree Parthasarathy Perumal Pictures,,2,,
20,1995,Manathile Oru Paattu,Gnanamozhi,"Vignesh, Saradha Preetha",null,Mozhi Movies,/wiki/Manathile_Oru_Paattu,2,Ilayagangai,
21,1995,Puthiya Aatchi,Velu Prabhakaran,"Anandaraj, Raadhika, Radha Ravi, Sarath Babu",null,Jayadevi Films,/wiki/Puthiya_Aatchi,4,"Premi,Sreeni,Film score,Shyam,composer,Shyam",
22,1995,Bombay,Mani Ratnam,"Arvind Swamy, Manisha Koirala",null,Aalayam Productions,/wiki/Bombay_(film),2,A. R. Rahman,8.1
23,1995,Muthukulikka Vaariyala,K. S. Ravikumar,"Vignesh, Kushboo, Sanghavi",null,Thirumoorthy Films,/wiki/Muthukulikka_Vaariyala,3,Soundaryan,
24,1995,Raja Enga Raja,T. Vijayasingaam,"Goundamani, Ramya Krishnan",null,M. R. Movies,/wiki/Raja_Enga_Raja,2,Ilaiyaraaja,4.8
25,1995,Thondan,Karvannan,"Murali, Rohini",null,R. K. Film Makers Circuit,/wiki/Thondan,2,Rajan Sarma,6.0
26,1995,Aanazhagan,Thyagarajan,"Prashanth, Suneha",null,Supreme Films International,/wiki/Aanazhagan,2,Ilaiyaraaja,6.1
27,1995,Dharmangal Sirikkinrana,A. Kasilingam,"Ravichandran, Srividya",null,Pachai Nayagi Films,,2,,6.4
28,1995,Udhavum Karangal,Shanmuga Priyan,"Raadhika, G. D. Ramesh, Anuja",null,Radhi Films,,3,,
29,1995,Coolie,P. Vasu,"Sarath Kumar, Meena, Goundamani",null,Seventh Channel Communications,/wiki/Coolie_(1995_film),3,Suresh Peters,5.7
30,1995,Ellame En Rasathan,Rajkiran,"Rajkiran, Sangita, Roopa Sri",null,Red Sun Art Creations,/wiki/Ellame_En_Rasathan,3,Ilaiyaraaja,5.4
31,1995,En Pondatti Nallava,Senthilnathan,"Napoleon, Kushboo",null,Ramakrishna Movie Makers,/wiki/En_Pondatti_Nallava,2,"Deva,composer,Deva",
32,1995,Karnaa,Selva,"Arjun, Ranjitha, Vineetha",null,Vijaya Madhavi Combines,/wiki/Karnaa,3,"Vidyasagar,composer,Vidyasagar",6.4
33,1995,Lucky Man,Prathap K. Pothan,"Karthik, Sanghavi, Goundamani",null,Prashath Art Movies,/wiki/Lucky_Man_(film),3,Adithyan,6.0
34,1995,Padikkara Vayasula,Jameen Raj,"Pandiarajan, Kaveri",null,Valli Cine Arts,,2,,
35,1995,Pasumpon,Bharathiraja,"Sivaji Ganesan, Sivakumar, Prabhu, Raadhika, Saranya Ponvannan, Vignesh",null,Ananthi Films,/wiki/Pasumpon,6,"Vidyasagar,Vidyasagar",7.0
36,1995,Thai Thangai Paasam,T. Rajendar,"T. Rajendar, Sithara",null,Thanjai Cine Arts,/wiki/Thai_Thangai_Paasam,2,T. Rajendar,4.9
37,1995,Chinna Vathiyar,Singeetham Srinivasa Rao,"Prabhu, Kushboo, Ranjitha",null,Swathi Chithra International,/wiki/Chinna_Vathiyar,3,Ilaiyaraaja,5.8
38,1995,Indira,Suhasini Maniratnam,"Arvind Swamy, Anu Haasan, Nassar",null,G. V. Films,/wiki/Indira_(film),3,A. R. Rahman,7.0
39,1995,Nandhavana Theru,R. V. Udayakumar,"Karthik, Srinidhi",null,Amma Creations,/wiki/Nandhavana_Theru,2,,5.4
40,1995,Thirumoorthy,Pavithran,"Vijayakanth, Ravali",null,M. G. Pictures,/wiki/Thirumoorthy,2,"Deva,Deva",
41,1995,Chellakannu,N. Rathnam,"Vignesh, Yuvarani",null,Poornima Shankar Enterprises,/wiki/Chellakannu,2,"Deva,Deva",
42,1995,Mogamul,Gnana Rajasekaran,"Abhisek, Archana Joglekar",null,J. R. Film Circuit,/wiki/Mogamul,2,Ilaiyaraaja,6.9
43,1995,Murai Maman,Sundar C.,"Jayaram, Kushboo, Goundamani",null,Ganga Gowri Productions,/wiki/Murai_Maman,3,"Vidyasagar,Vidyasagar",
44,1995,Avatharam,Nassar,"Nassar, Revathi",null,Kamalam Movies,/wiki/Avatharam_(1995_film),2,Ilaiyaraaja,6.8
45,1995,Sandhaikku Vandha Kili,M. S. Raja Annadurai,"Sarathraj, Sivaranjani",null,Sri Raja Rajeshwari Film Corporation,,2,,7.1
46,1995,Rani Maharani,Liquatali Khan,"Raghuvaran, Raadhika",null,Evergreen Movies,,2,Hamsalekha,
47,1995,Villadhi Villain,Sathyaraj,"Sathyaraj, Nagma",null,Raj Films International,/wiki/Villadhi_Villain,2,"Vidyasagar,Vidyasagar",5.9
48,1995,Thamizhachi,S. Asokan,"Napoleon, Ranjitha, Revathi",null,K. P. S. Films International,/wiki/Thamizhachi,3,"Deva,Deva",
49,1995,Anbu Magan,Shanmuga Sundaram,"Bharath Kumar, Sanghavi",null,Super Films,,2,T. Chalapathi Rao,
50,1995,Anjathavan,D. Raymond,"D. Raymond, Sophy Salmon",null,Haars Group,,2,,6.1
51,1995,Marumagan,Manivasagam,"Karthik, Meena",null,K. B. Films,/wiki/Marumagan,2,"Deva,Deva",
52,1995,Thedi Vandha Raasa,Bhoopathi Raja,"Ramarajan, Kushboo",null,Theradhi Films,/wiki/Thedi_Vandha_Raasa,2,Ilaiyaraaja,3.4
53,1995,Pullakuttikaran,R. Parthiepan,"R. Parthiepan, Sangita, Urvashi",null,Ammu Movies,/wiki/Pullakuttikaran,3,"Deva,Deva",
54,1995,Witness,Thakkali Srinivasan,"Nizhalgal Ravi, Gautami, Aamani",null,D. G. S. Media Symptoms,/wiki/Witness_(1995_film),3,"Premi,Seeni",
55,1995,Asuran,Velu Prabhakaran,"Arun Pandian, Roja",null,Motherland Movies International,/wiki/Asuran_(1995_film),2,Adithyan,4.4
56,1995,Gandhi Pirantha Mann,R. Sundarrajan,"Vijayakanth, Revathi, Ravali",null,Tamil Annai Cine Creations,/wiki/Gandhi_Pirantha_Mann,3,,
57,1995,Paattu Vaathiyar,T. P. Gajendran,"Ramesh Aravind, Ranjitha",null,Sree Navalady Creations,/wiki/Paattu_Vaathiyar,2,Ilaiyaraaja,4.5
58,1995,Chakravarthy,M. Bhaskar,"Karthik, Bhanupriya",null,Oscar Movies,/wiki/Chakravarthy_(1995_film),2,"Deva,Deva",
59,1995,Rajavin Parvaiyile,Janaki Soundar,"Vijay, Indraja, Ajith Kumar",null,Sri Masani Amman Movies,/wiki/Rajavin_Parvaiyile,3,Ilaiyaraaja,6.5
60,1995,Aval Potta Kolam,K. Vijayan,"Rajesh, Ambika",null,D. N. Combines,/wiki/Aval_Potta_Kolam,2,"Chandrabose,composer,Chandrabose",
61,1995,Mayabazar,K. R.,"Ramki, Urvashi, Suvarna Mathew",null,P. A. Art Productions,/wiki/Mayabazar_(1995_film),3,Ilaiyaraaja,5.5
62,1995,Vishnu,S. A. Chandrasekhar,"Vijay, Sanghavi",null,Oscar Movies,/wiki/Vishnu_(1995_film),2,"Deva,Deva",6.2
63,1995,Nadodi Mannan,Manivasagam,"Sarath Kumar, Meena",null,Raja Pushpa Pictures,/wiki/Nadodi_Mannan_(1995_film),2,,7.7
64,1995,Raasaiyya,P. Kannan,"Prabhu Deva, Roja",null,Amma Creations,/wiki/Raasaiyya,2,Ilaiyaraaja,5.0
65,1995,Periya Kudumbam,K. S. Ravikumar,"Prabhu, Kanaka, Vineetha",null,Ravi Shankar Films,/wiki/Periya_Kudumbam,3,Ilaiyaraaja,5.0
66,1995,Aasai,Vasanth,"Ajith Kumar, Suvalakshmi, Prakash Raj",null,Aalayam Productions,/wiki/Aasai,3,"Deva,Deva",7.6
67,1995,Mr. Madras,P. Vasu,"Prabhu, Sukanya, Vineetha",null,Lakshmi Movie Makers,/wiki/Mr._Madras,3,"Vidyasagar,Vidyasagar",8.0
68,1995,Kolangal,I. V. Sasi,"Jayaram, Kushboo",null,Carolina Films,/wiki/Kolangal_(1995_film),2,Ilaiyaraaja,
69,1995,Sindhu Bath,Balu Anand,"Mansoor Ali Khan, Kasthuri, Sanghavi",null,Manithan Cine Arts,/wiki/Sindhu_Bath,3,"Deva,composer,Deva",
70,1995,Mannukku Mariyadhai,T. R. Vijayan,"Vignesh, Sanghavi",null,J. K. S. Films,/wiki/Mannukku_Mariyadhai,2,Devadevan,4.8
71,1995,Thaikulame Thaikulame,N. Murugesh,"Pandiarajan, Vinaya Prasad, Urvashi",null,Ananth Cine Arts,/wiki/Thaikulame_Thaikulame,3,"Deva,Deva",5.2
72,1995,Aakaya Pookal,Deenadayal,"Napoleon, Kanaka",null,Vinothram International,,2,,
73,1995,Ilavarasi,Selva Vinayagam,"Vijayakumar, Anju",null,Raghavendra Network,,2,,
74,1995,Chandralekha,Nambhiraaj,"Vijay, Vanitha Vijayakumar, Sindhu",null,Shri Sairam Arts (P) Ltd.,/wiki/Chandralekha_(1995_film),3,Ilaiyaraaja,6.8
75,1995,Kuruthipunal,P. C. Sreeram,"Kamal Haasan, Arjun, Gouthami, Geetha",null,Raaj Kamal Films International,/wiki/Kuruthipunal_(film),4,Mahesh Mahadevan,8.5
76,1995,Makkal Aatchi,R. K. Selvamani,"Mammootty, Roja, Ranjitha",null,Aarthi International,/wiki/Makkal_Aatchi,3,Ilaiyaraaja,7.0
77,1995,Muthu,K. S. Ravikumar,"Rajinikanth, Meena, Sarath Babu",null,Kavithalayaa Productions,/wiki/Muthu_(1995_film),3,A. R. Rahman,7.5
78,1995,Neela Kuyil,Alleppey Ashraf,"Pandiarajan, Rajashree",null,Annu Pictures,/wiki/Neela_Kuyil,2,Manikka Vinayagam,7.8
79,1995,Ragasiya Police,R. S. Ilavarasan,"Sarath Kumar, Nagma",null,A. N. S. Film International,/wiki/Ragasiya_Police,2,"Laxmikant,Pyarelal",7.3
80,1995,Maamanithan,Mardhananda,"Napoleon, Vineetha",null,Nivedhitha Cine Arts,,2,,
81,1995,Seethanam,R. Sundarrajan,"Prabhu, Sangita, Ranjitha",null,Amma Creations,/wiki/Seethanam,3,"Deva,Deva",
82,1995,Ayudha Poojai,C. Sivakumar,"Arjun, Urvashi, Roja",null,Bhagyam Cine Combines,/wiki/Ayudha_Poojai,3,"Vidyasagar,Vidyasagar",6.2
83,1995,Ilaya Raagam,P. R. Devaraj,"Jothi Shankar, Kavitha",null,Pournami Film International,,2,,
84,1995,Maaman Magal,Guru Dhanapal,"Sathyaraj, Meena, Goundamani",null,A. G. S. Movies,/wiki/Maaman_Magal_(1995_film),3,Adithyan,6.0
85,1995,Jameen Kottai,Ramchandar,"Kalaipuli G. Sekaran, Seetha",null,Thiraiparavai,/wiki/Jameen_Kottai,2,Sirpy,
86,1995,Varraar Sandiyar,N. K. Vishwanathan,"Prem, Kushboo",null,Sree Rajakaliamman Cine Arts,/wiki/Varraar_Sandiyar,2,"Deva,composer,Deva",
87,1995,Ilaimaikku Oru Etcharikkai,S. Manikandan,"Bhaskaran, Poovitha",null,Sanjaykumar Films,,2,,
88,1995,Murai Mappillai,Sundar C.,"Arunkumar, Kirthika",null,Anbalaya Films,/wiki/Murai_Mappillai,2,Swararaj,4.4
89,1995,Thotta Chinungi,K. S. Adhiyaman,"Karthik, Revathi, Raghuvaran, Rohini, Nagendra Prasad, Devayani",null,Span Vision,/wiki/Thotta_Chinungi,6,Philip Jerry,
90,1995,Mannai Thottu Kumbidanum,R. Umashankar,"Selva, Keerthana",null,Sree Renukaambika Movies,/wiki/Mannai_Thottu_Kumbidanum,2,"Deva,Deva",9.2
91,1995,Dear Son Maruthu,M. Solai Rajendran,"Rahman, Sivakumar, Soundarya",null,Madhans Movie Creations,/wiki/Dear_Son_Maruthu,3,"Deva,composer,Deva",
