,year,title,director,cast,genre,producer,link,cast_size,music,imdb
1,2018,Mercury,Karthik Subbaraj,"Prabhu Deva, Remya Nambeesan, Sananth, Indhuja",null,Stone Bench Creations,/wiki/Mercury_(2018_film),4,Santhosh Narayanan,6.2
2,2018,Munthal,Stunt Jayanth,"Appu Krishna, Muksha, Rajendran, Nizhalgal Ravi",null,Harvest Moon Pictures,,4,,
3,2018,Diya,A. L. Vijay,"Sai Pallavi, Naga Shaurya, Veronika Arora",null,Lyca Productions,/wiki/Diya_(film),3,Sam CS,5.7
4,2018,Paadam,Rajashekar,"Karthik, Vijith, Mona, Yashika Aannand",null,Rollon Movies,/wiki/Paadam,4,Ganesh Raghavendra,4.9
5,2018,Pakka,S. S. Surya,"Vikram Prabhu, Nikki Galrani, Bindu Madhavi",null,Benn Consortium Studios,/wiki/Pakka_(film),3,C. Sathya,1.5
6,2018,Sila Samayangalil,Priyadarshan,"Prakash Raj, Sriya Reddy, Ashok Selvan, Varun",null,"Prabhu Deva Studios,Think Big Studios",/wiki/Sometimes_(film),4,Ilaiyaraaja,7.2
7,2018,Alai Pesi,Murali Bharathi,"Akhil, Anu Krishna, Singampuli",null,Vijayalakshmi Creations,,3,,
8,2018,Iruttu Araiyil Murattu Kuththu,Santhosh P. Jayakumar,"Gautham Karthik, Vaibhavi Shandilya, Sha Ra, Yashika Aannand, Chandrika Ravi",null,Blue Ghost Pictures,/wiki/Iruttu_Araiyil_Murattu_Kuththu,5,Balamurali Balu,4.2
9,2018,Kaathiruppor Pattiyal,Balayya D. Rajasekhar,"Sachin, Nandita Swetha, Rajendran",null,Lady Dream Cinemas,/wiki/Kaathiruppor_Pattiyal,3,Sean Roldan,5.3
10,2018,Iravukku Aayiram Kangal,Mu. Maran,"Arulnithi, Ajmal, Mahima Nambiar, Vidya Pradeep",null,Axess Film Factory,/wiki/Iravukku_Aayiram_Kangal,4,Sam CS,7.3
11,2018,Aaru Mudhal Aaru (Oru Iravu),M. G. Reddy,"Manjunath, Jayadeva",null,Sri Lakshmi MGR Movies,,2,,
12,2018,Irumbu Thirai,P. S. Mithran,"Vishal, Samantha, Arjun",null,Vishal Film Factory,/wiki/Irumbu_Thirai_(2018_film),3,Yuvan Shankar Raja,7.7
13,2018,Nadigaiyar Thilagam,Nag Ashwin,"Keerthy Suresh, Dulquer Salmaan, Samantha, Vijay Devarakonda",null,Vyjayanthi Movies,/wiki/Mahanati,4,Mickey J. Meyer,8.5
14,2018,Bhaskar Oru Rascal,Siddique,"Arvind Swami, Amala Paul, Nikesha Patel, Aftab Shivdasani",null,Harshini Movies,/wiki/Bhaskar_Oru_Rascal,4,Amresh Ganesh,4.7
15,2018,18 May 2009,Kuppan Ganeshan,"Subash Chandra Bose, Dhanya",null,SSK Creations,,2,,
16,2018,Kaali,Kiruthiga Udhayanidhi,"Vijay Antony, Anjali, Sunaina, Amritha Aiyer, Shilpa Manjunath",null,Vijay Antony Film Corporation,/wiki/Kaali_(2018_film),5,Vijay Antony,5.1
17,2018,Kadhalargal Valibar Sangam,Kasi Vishwanathan,"Sathya, Thamarai, Kovai Senthil",null,Vishnu Movie Makers,,3,,
18,2018,Paalkaari,Om Pulli Jeevarathinam,"Minu Kurian, Shivani Grover",null,Raghul Varma J Movies,,2,,
19,2018,Seyal,Ravi Abbulu,"Rajan Tejeshwar, Tharushi, Ramdoss, Renuka",null,C. R. Creations,/wiki/Seyal,4,Siddharth Vipin,
20,2018,Abhiyum Anuvum,B. R. Vijayalakshmi,"Tovino Thomas, Piaa Bajpai, Prabhu, Suhasini",null,Yoodlee Films,/wiki/Abhiyum_Anuvum,4,Dharan Kumar,7.6
21,2018,Oru Kuppai Kathai,Kaali Rangasamy,"Dinesh Kumar, Manisha Yadav, Sujo Mathew, Yogi Babu",null,Film Box Productions,/wiki/Oru_Kuppai_Kathai,4,Joshua Sridhar,6.5
22,2018,Kaala Koothu,M. Nagarajan,"Prasanna, Kalaiyarasan, Sai Dhanshika, Srushti Dange",null,Madurai Sri Kallazhagar Entertainment,/wiki/Kaala_Koothu,4,Justin Prabhakaran,5.9
23,2018,Pei Irukka Illaya,Pa. Ranjithkumar,"Vijayakumar, Livingston, Madhumitha",null,Team Work Talkies,,3,,
24,2018,Puthiya Bruce Lee,Mulaiyur A. Sonai,"Bruce, Raziya, Ashwanth Thilak",null,Sree Dindigul Venkateshvaraa Pictures,/wiki/Puthiya_Bruce_Lee,3,Soundaryan,
25,2018,Semma,Vallikanth,"G. V. Prakash Kumar, Arthana Binu, Yogi Babu",null,"Linga Bhairavi Creations, Pasanga Creations",/wiki/Semma,3,G. V. Prakash Kumar,4.8
26,2018,Antony,Kutti Kumar,"Paul Michael, Nishanth, Vaishali, Lal",null,Antony Productions,,4,,
27,2018,Mohana,Ra. Anand,"Rajendran, Power Star Srinivasan, Kalyani Nair, Asmitha",null,Mooraa Pictures,,4,,
28,2018,Panjumittai,S. P. Mohan,"Ma Ka Pa Anand, Nikhila Vimal, Pandiarajan",null,Deepam Cinema,/wiki/Panjumittai,3,D. Imman,4.6
29,2018,Vayakattu Mappillai,Vimal Murugan,"Vetrivel, Yogendra, Jothisha, Dayana",null,Jeeva Movie Makers,,4,,4.8
30,2018,X Videos,Sajo Sundar,"Ajay Raj, Akruti Singh, Abhinav",null,Colour Shadows Entertainment,/wiki/X_Videos_(film),3,Johan,
31,2018,Kaala,Pa. Ranjith,"Rajinikanth, Huma Qureshi, Samuthirakani, Nana Patekar",null,Wunderbar Films,/wiki/Kaala_(2018_film),4,Santhosh Narayanan,6.7
32,2018,Goli Soda 2,Vijay Milton,"Samuthirakani, Chemban Vinod Jose, Rohini, Gautham Menon",null,Rough Note Productions,/wiki/Goli_Soda_2,4,Achu Rajamani,7.3
33,2018,Ennodu Nee Irundhaal,M. Sathyamoorthy,"Sathya, Manasa Nair, Rohini, Ajay Rathnam",null,Sayto Film Corporation,,4,,
34,2018,Kannakkol,V. A. Kumaresan,"Bharani, Karunya Ram, Ganja Karuppu",null,Ram Pictures,/wiki/Kannakkol,3,Bobby,
35,2018,Kilambitaangayaa Kilambitaangayaa,Razak,"K. Bhagyaraj, Mansoor Ali Khan, R. Sundarrajan",null,Heaven Entertainment,,3,,
36,2018,Andhra Mess,Jai,"Raj Bharath, Tejaswini, AP Shreethar, Pooja Devariya",null,Showboat Studios,/wiki/Andhra_Mess,4,Prashant Pillai,3.3
37,2018,Enna Thavam Seitheno,Murabasalam,"Ghajini, Vishnupriya, Srinivasan, Mayilsamy",null,Inaindha Kaigal Kalaikoodam,/wiki/Enna_Thavam_Seitheno,4,Dev Guru,9.2
38,2018,Kargil,Sivaani Senthil,"Jishnu Menon, Prerna Sadani",null,Banner Sivani Studios,,2,,7.5
39,2018,Tik Tik Tik,Shakti Soundar Rajan,"Jayam Ravi, Aaron Aziz, Nivetha Pethuraj, Ramesh Thilak",null,Thenandal Studio Limited,/wiki/Tik_Tik_Tik_(2018_film),4,D. Imman,6.0
